date,Ukraine,Russia,StandWithUkraine,Putin,UkraineRussiaWar,NATO,StopRussia,StopPutin,Russian,ukraine
Jul-16,52589,21707,10978,8747,5803,8431,2430,2355,3535,3025
Jul-17,60812,35341,14426,9857,4067,10388,2244,1882,3581,2689
Jul-18,59616,30453,16248,10962,6270,10482,2269,1269,4874,2783
Jul-19,50631,24594,12176,13854,6748,10405,2063,1467,3993,2629
Jul-20,57529,25115,13815,19849,7637,7433,7133,1514,4621,2707
Jul-21,52108,25230,15366,22848,7844,6459,6614,1850,3709,2563
Jul-22,59925,25831,14281,14965,4871,5006,3647,1236,3545,3047
Jul-23,59911,24874,10535,12155,7827,5030,5663,3103,3939,2812
Jul-24,53799,20456,11683,8158,8343,4438,3458,1333,3817,2739
Jul-25,59975,19324,11835,7923,8112,4545,2637,1370,4010,3254
Jul-26,52214,22062,10146,8463,7143,5225,2531,1652,3563,3364
Jul-27,52070,21469,8618,8784,8200,8257,3042,953,3822,2787
Jul-28,65293,33972,17076,15308,5683,6654,2937,1212,3910,3193
Jul-29,69922,50628,15900,11336,14301,5871,7041,1439,4265,3086
Jul-30,54320,39164,15315,9570,10083,6538,5223,1471,3714,3220
Jul-31,57603,32733,15766,9442,10924,7075,3690,1263,4161,3164
Aug-1,53193,24004,13419,8804,6101,13975,2622,1208,3031,3158
Aug-2,57971,24267,10742,8940,5412,6711,1971,1079,4114,3566
