date,en,und,fr,de,it,es,ja,pl,ru,uk
May-23,141393,13376,10689,12159,6760,2949,3948,2144,3591,3343
May-24,134664,12749,8808,11072,7239,3179,3607,1920,3600,2170
May-25,118832,11018,6865,9214,6134,2838,4065,3005,4933,2658
May-26,139639,11906,7071,10094,9150,2513,6695,2071,4416,2946
May-27,135340,11371,7037,14259,8858,2511,7215,1757,5215,3654
May-28,140308,12409,7760,18254,8017,2354,5796,2018,4092,3377
May-29,126546,12564,7913,22254,6165,3000,4579,2634,3947,3216
May-30,124766,11914,14485,15373,8420,3127,4126,1987,5099,3421
May-31,117481,10988,10909,12437,9163,3277,3499,2005,4320,2225
Jun-1,124254,10842,9065,13392,8309,3009,5547,2136,4354,2689
Jun-2,101194,9771,8361,13339,7555,2536,4132,1603,7468,2268
Jun-3,123001,10812,7394,11574,7673,2725,4980,1542,7371,2727
Jun-4,108521,10847,6902,9739,7044,2320,4455,1442,3528,4112
Jun-5,129025,12296,8800,12822,8706,2801,5378,1687,5498,3335
Jun-6,107305,10914,7220,11861,7606,2989,3935,1930,4508,2007
Jun-7,115087,11166,6650,10680,7127,1881,6039,1488,3814,1771
Jun-8,121558,11014,7322,9663,8381,2057,4799,1612,4281,2358
Jun-9,124529,9194,6701,10454,7986,2395,4144,1950,3696,2091
Jun-10,113540,8824,6203,13174,8212,2883,3419,1573,3878,2191
Jun-11,113471,9845,8781,15193,6541,1841,3218,1449,4421,2614
Jun-12,114887,11359,8363,10132,5673,1948,3755,1872,5427,2646
Jun-13,109355,7487,7668,11021,4875,1923,3025,2091,4055,2228
Jun-14,81425,1884,7814,8450,5633,1863,2654,1358,3698,1823
Jun-15,109827,2710,8262,11218,6810,2210,3304,1651,5337,2193
Jun-16,118233,3044,24160,15427,6652,2419,3477,2026,5010,2080
Jun-17,106861,2821,15715,12460,9345,2352,3106,2341,4712,1782
Jun-18,93327,2580,11645,7835,7997,2234,3630,1496,3788,1478
Jun-19,90841,2129,11304,8954,6377,1835,3089,1859,3605,1936
Jun-20,110878,2437,5216,11154,7103,1910,2973,1921,5273,1968
Jun-21,97745,2525,6596,13663,6886,2358,3016,1640,4885,2970
Jun-22,105049,2699,5279,11614,5564,1958,3379,1773,5189,2671
Jun-23,116721,2959,9384,10278,6181,2444,4309,2275,4084,2349
Jun-24,98654,2606,12383,12462,5512,2000,3526,1362,5707,2041
Jun-25,87859,2381,7499,10328,5012,2378,2875,1567,3579,1695
Jun-26,118429,2783,7787,11741,7439,2542,3198,1522,7066,3026
Jun-27,138379,3196,11665,13524,7765,3804,2795,2250,6622,3685
Jun-28,132382,4983,12553,12080,9734,6180,3199,2410,5111,3470
Jun-29,128640,3434,9165,12804,14670,5985,3925,3791,4180,2387
Jun-30,92200,2692,7578,12766,11419,4731,4146,2624,2903,1868
Jul-1,97634,2489,11385,10985,7634,3464,2442,1925,3876,2544
Jul-2,94058,1987,8511,9978,5324,3087,2484,1486,2356,1751
Jul-3,82348,2402,8444,9595,6522,3180,2744,1412,3041,1851
Jul-4,85194,2009,9405,9740,4784,2230,2781,2449,4424,2283
Jul-5,88177,2112,7550,9779,5622,1973,3041,2528,4691,2437
Jul-6,78770,2151,5119,9263,5611,1506,2204,1512,3299,1887
Jul-7,81673,2145,5661,8932,4740,2145,2973,1639,3168,2757
Jul-8,82318,1716,7589,11735,5686,2250,1738,1782,3211,2489
Jul-9,77850,1788,7384,9241,4113,1662,1795,1316,2359,1654
Jul-10,83210,2203,10550,11094,4634,2043,2796,2480,2003,2038
Jul-11,85688,1898,6257,12037,6030,2181,5137,2611,3102,2005
Jul-12,81947,1801,4454,13699,5637,2426,3641,1441,2651,1944
Jul-13,76280,1804,4501,10908,4722,1705,2755,1634,2091,1655
Jul-14,104500,3108,5915,8986,6643,2278,2101,1530,3413,4551
Jul-15,88329,2793,7015,8073,5636,2760,2646,1331,3301,3655
Jul-16,67116,2391,6228,7475,3613,1713,1989,945,2631,2962
Jul-17,82714,1928,5471,9786,4838,1653,1721,1151,2156,2089
Jul-18,76598,2083,8248,11061,4762,1492,2732,1242,2937,2496
Jul-19,74631,1915,6374,9822,4467,1873,1895,1143,2752,2196
Jul-20,84706,1969,6453,9976,6281,1958,2234,1147,3101,2427
Jul-21,79545,1952,8702,10196,6719,1839,2541,1342,3130,2260
Jul-22,77554,1714,7613,9486,4234,1568,1944,1373,2863,1830
Jul-23,75442,2232,6380,9365,3448,1777,1997,1193,2249,1449
Jul-24,65617,2567,7887,6971,2525,1669,2113,1258,2758,1822
Jul-25,67245,2119,7469,9985,2266,1518,2493,1271,3004,1891
Jul-26,67067,1984,5295,12884,2665,1599,1856,1044,2364,1600
Jul-27,68898,2187,6399,10703,3332,1975,1527,847,2429,1822
Jul-28,87894,2281,9730,9080,11862,3218,1910,1024,2660,1814
Jul-29,117765,2866,8169,7529,9330,2615,2257,1361,3251,5019
Jul-30,91978,2605,6194,7666,4887,1866,2108,1502,3980,3672
Jul-31,80738,2572,10976,6740,5268,3116,2443,1390,4386,2757
Aug-1,73978,1852,7319,7115,6202,2462,1828,878,3173,2692
Aug-2,83951,1809,6368,9965,4263,2347,2142,838,3645,2234
Aug-3,76786,1774,6001,10342,3517,1676,1862,899,2702,2020
Aug-4,79069,2107,6510,6847,3803,1536,1706,998,3424,2278
Aug-5,76213,2023,8207,7266,2895,1838,1737,854,3283,2535
Aug-6,87323,1979,8389,6972,2884,2174,1942,1238,3529,2115
Aug-7,92058,2120,8755,5574,2471,1562,2028,1257,3381,2292
Aug-8,77856,1918,10308,6544,3325,1591,2553,1432,3404,2424
Aug-9,76670,1982,8471,6453,3279,1559,2042,2021,2973,2001
Aug-10,64569,1859,6573,5489,4765,1426,2090,1366,3414,1895
Aug-11,66877,1897,7590,6360,4261,1252,3445,1371,3891,2200
Aug-12,56847,1390,5819,5130,2865,943,1415,747,2625,1985
Aug-13,57368,1724,5295,5804,2416,1233,3668,682,2659,3326
Aug-14,59079,1821,4194,6314,3176,1170,2699,807,1865,1946
Aug-15,71001,2228,7031,8851,3242,1690,1799,898,2369,2533
